Image,Detected Object(s),Generated_Image_Path
10006.jpeg,"['car mirror', 'beer glass', 'sunglass', 'cornet, horn, trumpet, trump', 'trombone']",images\10006.jpeg
10012.jpeg,"['ambulance', 'cab, hack, taxi, taxicab', 'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria', 'fire engine, fire truck', 'racer, race car, racing car']",images\10012.jpeg
10024.jpeg,"['alp', 'ski', 'snowmobile', 'dogsled, dog sled, dog sleigh', 'valley, vale']",images\10024.jpeg
1003.jpeg,"['Arabian camel, dromedary, Camelus dromedarius', 'sorrel', 'horse cart, horse-cart', 'sombrero', 'cowboy hat, ten-gallon hat']",images\1003.jpeg
10034.jpeg,"['lumbermill, sawmill', 'jeep, landrover', 'chain saw, chainsaw', 'pole', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\10034.jpeg
10037.jpeg,"['cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'German shepherd, German shepherd dog, German police dog, alsatian', 'sliding door', 'window screen', 'cowboy boot']",images\10037.jpeg
10046.jpeg,"['gorilla, Gorilla gorilla']",images\10046.jpeg
1005.jpeg,"['spotlight, spot', 'stage', 'scuba diver', 'ski', 'bannister, banister, balustrade, balusters, handrail']",images\1005.jpeg
10062.jpeg,"['giant schnauzer', 'dogsled, dog sled, dog sleigh', 'snowmobile', 'alp', 'Kerry blue terrier']",images\10062.jpeg
10074.jpeg,"['hog, pig, grunter, squealer, Sus scrofa', 'wild boar, boar, Sus scrofa', 'web site, website, internet site, site']",images\10074.jpeg
10082.jpeg,"['tractor', 'web site, website, internet site, site', 'plow, plough', 'lawn mower, mower', 'comic book']",images\10082.jpeg
10091.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar', 'shower curtain', 'fur coat']",images\10091.jpeg
10093.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site', 'Doberman, Doberman pinscher', 'black-and-tan coonhound']",images\10093.jpeg
10095.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\10095.jpeg
10097.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar']",images\10097.jpeg
10114.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site', 'menu', 'abaya']",images\10114.jpeg
10123.jpeg,"['gibbon, Hylobates lar']",images\10123.jpeg
10126.jpeg,"['fountain', 'spotlight, spot', 'baboon', 'pier', 'geyser']",images\10126.jpeg
10136.jpeg,"['binoculars, field glasses, opera glasses']",images\10136.jpeg
10151.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'limousine, limo', 'maillot', 'maillot, tank suit']",images\10151.jpeg
10153.jpeg,"['fountain', 'space shuttle', 'spotlight, spot']",images\10153.jpeg
10157.jpeg,"['caldron, cauldron', 'tub, vat', 'crane', 'guillotine', 'fountain']",images\10157.jpeg
1018.jpeg,"['gondola', 'web site, website, internet site, site']",images\1018.jpeg
10192.jpeg,"['cuirass', 'military uniform', 'bulletproof vest', 'breastplate, aegis, egis', 'assault rifle, assault gun']",images\10192.jpeg
10197.jpeg,"['gazelle', 'impala, Aepyceros melampus', 'ibex, Capra ibex']",images\10197.jpeg
102.jpeg,"['valley, vale', 'water buffalo, water ox, Asiatic buffalo, Bubalus bubalis', 'mountain bike, all-terrain bike, off-roader', 'malinois', 'Border terrier']",images\102.jpeg
1021.jpeg,"['fountain', 'car mirror']",images\1021.jpeg
1022.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'rifle', 'warthog']",images\1022.jpeg
10220.jpeg,"['minivan', 'limousine, limo', 'minibus', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'jeep, landrover']",images\10220.jpeg
10234.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'comic book']",images\10234.jpeg
10239.jpeg,['planetarium'],images\10239.jpeg
1024.jpeg,"['baboon', 'macaque', 'shovel']",images\1024.jpeg
10249.jpeg,"['lakeside, lakeshore', 'geyser', 'dam, dike, dyke', 'rifle', 'valley, vale']",images\10249.jpeg
10251.jpeg,"['lumbermill, sawmill', 'mobile home, manufactured home', 'moving van', 'boathouse', 'chain saw, chainsaw']",images\10251.jpeg
10258.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'binder, ring-binder', 'pillow']",images\10258.jpeg
10260.jpeg,"['bikini, two-piece', 'maillot']",images\10260.jpeg
10265.jpeg,"['cliff, drop, drop-off', 'ski', 'alp', 'book jacket, dust cover, dust jacket, dust wrapper', 'promontory, headland, head, foreland']",images\10265.jpeg
10266.jpeg,"['baboon', 'patas, hussar monkey, Erythrocebus patas', 'spider monkey, Ateles geoffroyi']",images\10266.jpeg
1027.jpeg,"['maze, labyrinth', 'suspension bridge', 'seashore, coast, seacoast, sea-coast']",images\1027.jpeg
10272.jpeg,"['gorilla, Gorilla gorilla']",images\10272.jpeg
10273.jpeg,"['gorilla, Gorilla gorilla', 'spotlight, spot', 'American black bear, black bear, Ursus americanus, Euarctos americanus', 'abaya', 'ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus']",images\10273.jpeg
10277.jpeg,"['hog, pig, grunter, squealer, Sus scrofa', 'wild boar, boar, Sus scrofa', 'birdhouse']",images\10277.jpeg
10279.jpeg,"['web site, website, internet site, site', 'comic book']",images\10279.jpeg
1028.jpeg,"['lakeside, lakeshore', 'valley, vale', 'seashore, coast, seacoast, sea-coast', 'vault', 'viaduct']",images\1028.jpeg
10284.jpeg,"['comic book', 'web site, website, internet site, site', 'laptop, laptop computer']",images\10284.jpeg
10289.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\10289.jpeg
1030.jpeg,"['baboon', 'chimpanzee, chimp, Pan troglodytes', 'langur', 'boathouse', 'dam, dike, dyke']",images\1030.jpeg
1031.jpeg,"['pickup, pickup truck']",images\1031.jpeg
10324.jpeg,"['borzoi, Russian wolfhound', 'English setter', 'Scottish deerhound, deerhound', 'Bedlington terrier', 'Irish wolfhound']",images\10324.jpeg
10330.jpeg,"['seashore, coast, seacoast, sea-coast', 'web site, website, internet site, site', 'sandbar, sand bar', 'monitor', 'comic book']",images\10330.jpeg
10349.jpeg,"['gorilla, Gorilla gorilla', 'macaque', 'cliff, drop, drop-off', 'valley, vale', 'baboon']",images\10349.jpeg
10354.jpeg,"['park bench', 'hay', 'American egret, great white heron, Egretta albus', 'nail', 'soccer ball']",images\10354.jpeg
10357.jpeg,"['comic book', 'chimpanzee, chimp, Pan troglodytes', 'stethoscope', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'book jacket, dust cover, dust jacket, dust wrapper']",images\10357.jpeg
1036.jpeg,"['mountain tent', 'jeep, landrover', 'valley, vale', 'alp', 'web site, website, internet site, site']",images\1036.jpeg
10397.jpeg,"['menu', 'web site, website, internet site, site', 'crossword puzzle, crossword']",images\10397.jpeg
10407.jpeg,"['snowplow, snowplough', 'racer, race car, racing car', 'amphibian, amphibious vehicle', 'jeep, landrover', 'bobsled, bobsleigh, bob']",images\10407.jpeg
10421.jpeg,"['cab, hack, taxi, taxicab', 'comic book', 'web site, website, internet site, site']",images\10421.jpeg
10422.jpeg,"['ballplayer, baseball player', 'pole', 'drumstick', 'reel', 'baseball']",images\10422.jpeg
1043.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'brass, memorial tablet, plaque', 'comic book', 'street sign', 'moving van']",images\1043.jpeg
10438.jpeg,"['maze, labyrinth', 'lakeside, lakeshore', 'park bench', 'valley, vale', 'stone wall']",images\10438.jpeg
10446.jpeg,"['volcano', 'geyser']",images\10446.jpeg
1045.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus']",images\1045.jpeg
1046.jpeg,"['web site, website, internet site, site']",images\1046.jpeg
10470.jpeg,"['airship, dirigible', 'submarine, pigboat, sub, U-boat', 'aircraft carrier, carrier, flattop, attack aircraft carrier', 'volcano']",images\10470.jpeg
10486.jpeg,"['Bedlington terrier', 'patio, terrace', 'standard poodle', 'Bouvier des Flandres, Bouviers des Flandres', 'soft-coated wheaten terrier']",images\10486.jpeg
1049.jpeg,"['alp', 'snowmobile', 'ski', 'lakeside, lakeshore', 'ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus']",images\1049.jpeg
10498.jpeg,['baboon'],images\10498.jpeg
105.jpeg,['football helmet'],images\105.jpeg
10501.jpeg,"['trilobite', 'baseball', 'hammerhead, hammerhead shark', 'centipede', 'ballplayer, baseball player']",images\10501.jpeg
10505.jpeg,"['fountain', 'valley, vale', 'alp', 'volcano', 'geyser']",images\10505.jpeg
10506.jpeg,"['worm fence, snake fence, snake-rail fence, Virginia fence', 'baboon', 'gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\10506.jpeg
10509.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'chimpanzee, chimp, Pan troglodytes', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\10509.jpeg
10510.jpeg,"['unicycle, monocycle', 'bannister, banister, balustrade, balusters, handrail', 'orangutan, orang, orangutang, Pongo pygmaeus', 'gibbon, Hylobates lar']",images\10510.jpeg
10533.jpeg,['comic book'],images\10533.jpeg
10535.jpeg,"['spider monkey, Ateles geoffroyi', 'baboon', 'orangutan, orang, orangutang, Pongo pygmaeus', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'stone wall']",images\10535.jpeg
10538.jpeg,"['bicycle-built-for-two, tandem bicycle, tandem', 'mountain bike, all-terrain bike, off-roader', 'tricycle, trike, velocipede', 'alp']",images\10538.jpeg
1055.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'spider monkey, Ateles geoffroyi']",images\1055.jpeg
10556.jpeg,"['web site, website, internet site, site', 'jean, blue jean, denim', 'comic book']",images\10556.jpeg
1058.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'spider monkey, Ateles geoffroyi', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'baboon']",images\1058.jpeg
1059.jpeg,"['canoe', 'paddle, boat paddle', 'lakeside, lakeshore', 'valley, vale']",images\1059.jpeg
10591.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site']",images\10591.jpeg
10595.jpeg,"['briard', 'Bouvier des Flandres, Bouviers des Flandres', 'Tibetan terrier, chrysanthemum dog']",images\10595.jpeg
1060.jpeg,"['American black bear, black bear, Ursus americanus, Euarctos americanus', 'brown bear, bruin, Ursus arctos', 'sloth bear, Melursus ursinus, Ursus ursinus', 'giant schnauzer', 'ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus']",images\1060.jpeg
10608.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'gorilla, Gorilla gorilla', 'baboon']",images\10608.jpeg
10609.jpeg,"['tricycle, trike, velocipede', 'shovel', 'park bench', 'plow, plough', 'crutch']",images\10609.jpeg
1061.jpeg,"['mountain bike, all-terrain bike, off-roader', 'comic book', 'lakeside, lakeshore', 'parachute, chute', 'ski']",images\1061.jpeg
1062.jpeg,"['macaque', 'chimpanzee, chimp, Pan troglodytes', 'baboon', 'spider monkey, Ateles geoffroyi', 'gorilla, Gorilla gorilla']",images\1062.jpeg
10620.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\10620.jpeg
10623.jpeg,"['wild boar, boar, Sus scrofa', 'hog, pig, grunter, squealer, Sus scrofa', 'warthog']",images\10623.jpeg
1063.jpeg,"['baboon', 'scuba diver', 'Weimaraner', 'chimpanzee, chimp, Pan troglodytes', 'sea lion']",images\1063.jpeg
10632.jpeg,"['web site, website, internet site, site']",images\10632.jpeg
1064.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'cab, hack, taxi, taxicab', 'car wheel', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\1064.jpeg
10646.jpeg,"['valley, vale', 'lakeside, lakeshore', 'alp', 'sandbar, sand bar']",images\10646.jpeg
1065.jpeg,"['baboon', 'jeep, landrover', 'langur', 'patas, hussar monkey, Erythrocebus patas']",images\1065.jpeg
10653.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'menu', 'web site, website, internet site, site']",images\10653.jpeg
10660.jpeg,"['baboon', 'langur', 'proboscis monkey, Nasalis larvatus', 'macaque']",images\10660.jpeg
10678.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\10678.jpeg
1068.jpeg,"['valley, vale', 'alp', 'cliff, drop, drop-off', 'chimpanzee, chimp, Pan troglodytes']",images\1068.jpeg
