Image,Image Caption(s),Generated_Image_Path
10006.jpeg,"['a black and white photo of a person on a skateboard .', 'a black and white photo of a person on a skateboard', 'a black and white photo of a person holding a skateboard .']",images\10006.jpeg
10012.jpeg,"['a group of cars driving down a street .', 'a street scene with cars and trucks driving down it .', 'a street scene with cars and trucks driving down the road .']",images\10012.jpeg
10024.jpeg,"['a man riding a snowboard down a snow covered slope .', 'a person riding a snowboard down a snow covered slope .', 'a person on a snowboard in the snow .']",images\10024.jpeg
1003.jpeg,"['a group of people riding on the backs of horses .', 'a group of people riding horses down a street .', 'a group of people riding horses on a beach .']",images\1003.jpeg
10034.jpeg,"['a truck is parked on the side of the road .', 'a truck is parked on the side of a road .', 'a truck is parked on the side of the road']",images\10034.jpeg
10037.jpeg,"['a group of people sitting on top of a bench .', 'a group of people sitting on a bench in front of a building .', 'a group of people sitting on a bench with a dog .']",images\10037.jpeg
10046.jpeg,"['a group of men standing next to each other .', 'a group of men standing next to each other in a forest .', 'a group of men standing next to each other in a field .']",images\10046.jpeg
1005.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down a ramp .', 'a man riding a skateboard on top of a ramp .']",images\1005.jpeg
10062.jpeg,"['a person on a surfboard in the water .', 'a person on a snowboard in the snow .', 'a person on a surfboard in the water']",images\10062.jpeg
10074.jpeg,"['a man is standing in the snow with a sheep .', 'a man is standing in the snow with a sheep', 'a man is standing in the snow next to a sheep .']",images\10074.jpeg
10082.jpeg,"['a group of people standing next to a truck .', 'a group of men standing next to a truck .', 'a group of people standing next to a large truck .']",images\10082.jpeg
10091.jpeg,"['a man and a woman are standing in the snow .', 'a man and a woman are standing in the snow', 'a man and a woman are standing in the woods .']",images\10091.jpeg
10093.jpeg,"['a group of dogs standing next to each other .', 'a group of dogs standing on top of a wooden bench .', 'a group of dogs standing next to each other on a field .']",images\10093.jpeg
10095.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a ramp .']",images\10095.jpeg
10097.jpeg,"['a black and white photo of a man playing with a frisbee .', 'a black and white photo of a man and a dog .', 'a black and white photo of a man and a dog']",images\10097.jpeg
10114.jpeg,"['a black and white photo of a man holding a tennis racket .', 'a black and white photo of a man holding a tennis racket', 'a black and white photo of a man and a woman .']",images\10114.jpeg
10123.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people riding on the backs of horses .', 'a group of people riding on top of a horse .']",images\10123.jpeg
10126.jpeg,"['a couple of bears that are standing in the water .', 'a couple of bears that are in the water .', 'a couple of bears that are in the water']",images\10126.jpeg
10136.jpeg,"['a group of people in a room with a clock .', 'a group of people in a room with a clock', 'a group of people sitting on a couch with a dog .']",images\10136.jpeg
10151.jpeg,"['a stuffed bear is sitting in a car', 'a stuffed bear is sitting in a car .', 'a stuffed animal is sitting in the window of a car .']",images\10151.jpeg
10153.jpeg,"['a night time view of a city street at night .', 'a night time view of a city street at night', 'a night time view of a street with a traffic light .']",images\10153.jpeg
10157.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on a wooden bench .', 'a group of people sitting on top of a bench .']",images\10157.jpeg
1018.jpeg,"['a group of birds sitting on top of a wooden bench .', 'a group of birds sitting on top of a wooden deck .', 'a group of birds sitting on top of a wooden table .']",images\1018.jpeg
10192.jpeg,"['a man and a woman standing next to each other .', 'a man and woman standing next to each other .', 'a man and a woman standing next to each other in a forest .']",images\10192.jpeg
10197.jpeg,"['a herd of giraffe standing on top of a lush green field .', 'a herd of giraffe standing on top of a grass covered field .', 'a herd of giraffe standing on top of a dry grass field .']",images\10197.jpeg
102.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people riding on the back of elephants .', 'a group of people riding on the back of a horse .']",images\102.jpeg
1021.jpeg,"['a black and white photo of a person on a skateboard .', 'a black and white photo of a person on a skateboard', 'a black and white photo of a man on a skateboard .']",images\1021.jpeg
1022.jpeg,"['a group of birds standing on top of a lush green field .', 'a group of animals standing on top of a lush green field .', 'a group of birds standing on top of a grass covered field .']",images\1022.jpeg
10220.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard down a street next to a car .', 'a man riding a skateboard down a street next to a truck .']",images\10220.jpeg
10234.jpeg,"['a dog sitting in the back of a truck .', 'a black and white dog sitting on top of a truck .', 'a dog sitting in the back of a truck']",images\10234.jpeg
10239.jpeg,"['a couple of people standing next to a parking meter .', 'a couple of people sitting on top of a bench .', 'a couple of people sitting on a bench next to a body of water .']",images\10239.jpeg
1024.jpeg,"['a group of people standing on top of a tennis court .', 'a group of people standing on top of a basketball court .', 'a group of people standing on top of a tennis court holding racquets .']",images\1024.jpeg
10249.jpeg,"['a man is standing in the snow with a snowboard .', 'a man is standing in the snow with a snowboard', 'a man is standing in the snow on a snowboard .']",images\10249.jpeg
10251.jpeg,"['a man standing next to a fire hydrant .', 'a man standing in front of a fire hydrant .', 'a man standing in front of a fire hydrant on a sidewalk .']",images\10251.jpeg
10258.jpeg,"['a group of colorful vases sitting on top of a table .', 'a group of colorful vases sitting on top of each other .', 'a bunch of different colored vases on a table']",images\10258.jpeg
10260.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other on a beach .', 'a group of people standing next to each other in a boat .']",images\10260.jpeg
10265.jpeg,"['a man riding a skateboard down a street .', 'a person riding a skate board on a city street', 'a person riding a skateboard down a street .']",images\10265.jpeg
10266.jpeg,"['a dog sitting in the back of a truck .', 'a dog laying on the back of a truck .', 'a dog sitting in the back of a truck']",images\10266.jpeg
1027.jpeg,"['a small boat in a body of water', 'a boat traveling down a river next to a forest .', 'a small boat in a body of water near a city']",images\1027.jpeg
10272.jpeg,"['a man holding a baseball bat in his hands .', 'a man holding a baseball bat in his hand .', 'a man holding a baseball bat in his hands']",images\10272.jpeg
10273.jpeg,"['a person on a skateboard on a street .', 'a person on a skate board on a city street', 'a person on a skate board in a city']",images\10273.jpeg
10277.jpeg,"['a flock of birds sitting on top of a lush green field .', 'a flock of birds standing on top of a lush green field .', 'a flock of birds standing on top of a grass covered field .']",images\10277.jpeg
10279.jpeg,"['a teddy bear sitting on top of a bed .', 'a teddy bear sitting on top of a book .', 'a stuffed animal is sitting on a book']",images\10279.jpeg
1028.jpeg,"['a couple of animals laying on top of a dirt field .', 'a couple of animals laying on top of a sandy beach .', 'a couple of animals laying on top of a grass covered field .']",images\1028.jpeg
10284.jpeg,"['a group of people sitting around a table .', 'a group of people sitting around a table with laptops .', 'a group of people sitting at a table with laptops .']",images\10284.jpeg
10289.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard on top of a ramp .', 'a man riding a skateboard down a ramp .']",images\10289.jpeg
1030.jpeg,"['a large white bear sitting on top of a wooden bench .', 'a large white bear sitting on top of a wooden fence .', 'a large polar bear sitting on top of a wooden bench .']",images\1030.jpeg
1031.jpeg,"['a black and white photo of a dog sitting in the back of a truck .', 'a black and white photo of a dog sitting in the back of a truck', 'a black and white photo of a dog sitting in a truck .']",images\1031.jpeg
10324.jpeg,"['a man and a dog are sitting on a bench .', 'a man and a dog are sitting on a bench', 'a man and a dog are sitting in a chair']",images\10324.jpeg
10330.jpeg,"['a group of people riding skis down a snow covered slope .', 'a group of people riding skis on top of a snow covered slope .', 'a group of people riding skis on a snow covered slope .']",images\10330.jpeg
10349.jpeg,"['a person riding a skate board at a skate park', 'a person riding a skate board on a rail', 'a person riding a skate board on a ledge']",images\10349.jpeg
10354.jpeg,"['a black and white photo of a lake', 'a black and white photo of a person in the water .', 'a black and white photo of a person in the water']",images\10354.jpeg
10357.jpeg,"['a group of people standing next to each other .', 'a group of young men standing next to each other .', 'a group of people standing next to each other holding a teddy bear .']",images\10357.jpeg
1036.jpeg,"['a herd of elephants walking down a dirt road .', 'a group of elephants standing next to each other .', 'a group of elephants standing next to a car .']",images\1036.jpeg
10397.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other holding surfboards .', 'a group of people standing next to each other in a room .']",images\10397.jpeg
10407.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard on top of a street .', 'a man riding a skateboard on top of a cement block .']",images\10407.jpeg
10421.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard on top of a ramp .', 'a man riding a skateboard in the middle of a street .']",images\10421.jpeg
10422.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .', 'a group of young men sitting on top of a wooden bench .']",images\10422.jpeg
1043.jpeg,"['a group of people standing next to a sign .', 'a black and white photo of a sign that says <UNK> .', 'a black and white photo of a sign that says <UNK>']",images\1043.jpeg
10438.jpeg,"['a forest filled with lots of lush green trees .', 'a forest filled with lots of trees next to a forest .', 'a forest filled with lots of trees and a forest .']",images\10438.jpeg
10446.jpeg,"['a person riding a snowboard down a snow covered slope .', 'a person on a snowboard in the snow .', 'a person riding a snow board on a snowy surface']",images\10446.jpeg
1045.jpeg,"['a man sitting on the back of a truck .', 'a man sitting on the back of a pickup truck .', 'a man sitting on the back of a truck with a dog .']",images\1045.jpeg
1046.jpeg,"['a man standing on top of a lush green field .', 'a man standing on top of a grass covered field .', 'a man standing on top of a grass covered hillside .']",images\1046.jpeg
10470.jpeg,"['a black and white photo of a boat in the water .', 'a black and white photo of a boat in the water', 'a black and white photo of a plane flying over the water .']",images\10470.jpeg
10486.jpeg,"['a horse standing in the middle of a room .', 'a horse standing in the middle of a building .', 'a horse standing in the middle of a room with lots of windows .']",images\10486.jpeg
1049.jpeg,"['a group of people riding skis down a snow covered slope .', 'a group of people riding skis on top of a snow covered slope .', 'a group of people riding skis on a snowy surface']",images\1049.jpeg
10498.jpeg,"['a group of people standing next to an elephant .', 'a group of people riding on the back of an elephant .', 'a group of people standing next to an elephant']",images\10498.jpeg
105.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people playing frisbee in a field .', 'a group of people playing frisbee in a field']",images\105.jpeg
10501.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other on a dirt field .', 'a group of people standing next to each other on a sandy beach .']",images\10501.jpeg
